movie.title,genre,mpaa.rating,total.gross,inflation.adjusted.gross
Breakfast of Champions,Comedy,R,178287,295851
Mumford,Comedy,R,4559569,7566363
"Mystery, Alaska",Comedy,R,8891623,14755189
The Straight Story,Drama,G,6197866,10111144
The Insider,Drama,R,28965197,47794214
Toy Story 2,Adventure,G,245852179,404450426
Cradle Will Rock,Drama,R,2899970,4609153
Deuce Bigalow: Male Gigolo,Comedy,R,65535067,106921374
Bicentennial Man,Drama,PG,58220776,94838225
Play it to the Bone,Comedy,R,8427204,13180524
Fantasia 2000 (IMAX),Musical,G,60507228,94852354
Gun Shy,Comedy,R,1638202,2562155
The Tigger Movie,Adventure,G,45542421,71228678
Mission to Mars,Adventure,PG,60874615,95208344
High Fidelity,Comedy,R,27277055,42661516
Keeping the Faith,Romantic Comedy,PG-13,37036404,57925202
Dinosaur,Adventure,PG,137748063,215438985
Shanghai Noon,Western,PG-13,56932305,89042541
Gone in 60 Seconds,Action,PG-13,101643008,158970411
Fantasia 2000 (Theatrical Release),Musical,G,9103630,14238144
The Kid,Comedy,PG,69688384,108993148
Coyote Ugly,Drama,PG-13,60786269,95070168
The Crew,Comedy,PG-13,13019253,20362201
Duets,Drama,R,4734235,7404372
Remember the Titans,Drama,PG,115654751,180742479
Unbreakable,Thriller/Suspense,PG-13,94999143,148208901
102 Dalmatians,Comedy,G,66941559,104055039
The Emperor's New Groove,Adventure,G,89296573,136789252
"O Brother, Where Art Thou?",Comedy,PG-13,45506619,67922002
Double Take,Action,PG-13,29823162,44418589
Recess: School's Out,Comedy,G,36696761,54656124
Just Visiting,Comedy,PG-13,4777007,7114869
Pearl Harbor,Action,PG-13,198539855,295705112
Atlantis: The Lost Empire,Adventure,PG,84052762,125188122
crazy/beautiful,Drama,PG-13,16929123,25214223
The Princess Diaries,Comedy,G,108244774,161218928
Bubble Boy,Comedy,PG-13,5002310,7450434
Max Keeble's Big Move,Comedy,PG,17292381,25749730
Corky Romano,Comedy,PG-13,23978402,35705805
High Heels and Low Lifes,,R,226792,337782
"Monsters, Inc.",Adventure,G,289423425,416073179
Out Cold,Comedy,PG-13,13906394,20700691
The Royal Tenenbaums,Black Comedy,R,52353636,76758193
Beauty and the Beast (IMAX),Musical,G,25487028,36980311
Frank McKlusky C.I.,,,0,0
Snow Dogs,Comedy,PG,81150692,117745317
The Count of Monte Cristo,Drama,PG-13,54228104,78682079
Peter Pan: Return to Neverland,Adventure,G,48430258,70269715
Reign of Fire,Action,PG-13,43061982,62480631
Sorority Boys,Comedy,R,10198766,14797862
The Rookie,Drama,G,75600072,109691666
Big Trouble,Comedy,PG-13,7262288,10537188
