Series.Title,Certificate,IMDB.Rating,Meta.score,Director,No.of.Votes,Gross
"Lock, Stock and Two Smoking Barrels",A,8.2,66,Guy Ritchie,535216,"3,897,569"
L.A. Confidential,A,8.2,90,Curtis Hanson,531967,"64,616,940"
Eskiya,,8.2,,Yavuz Turgul,64118,
Heat,A,8.2,76,Michael Mann,577113,"67,436,818"
Casino,A,8.2,73,Martin Scorsese,466276,"42,438,300"
Andaz Apna Apna,U,8.2,,Rajkumar Santoshi,49300,
Unforgiven,A,8.2,85,Clint Eastwood,375935,"101,157,447"
Indiana Jones and the Last Crusade,U,8.2,65,Steven Spielberg,692366,"197,171,806"
Dom za vesanje,R,8.2,,Emir Kusturica,26402,"280,015"
Tonari no Totoro,U,8.2,86,Hayao Miyazaki,291180,"1,105,564"
Die Hard,A,8.2,72,John McTiernan,793164,"83,008,852"
Ran,U,8.2,96,Akira Kurosawa,112505,"4,135,750"
Raging Bull,A,8.2,89,Martin Scorsese,321860,"23,383,987"
Stalker,U,8.2,,Andrei Tarkovsky,116945,"234,723"
Höstsonaten,U,8.2,,Ingmar Bergman,26875,
The Message,PG,8.2,,Moustapha Akkad,43885,
Sholay,U,8.2,,Ramesh Sippy,51284,
Monty Python and the Holy Grail,PG,8.2,91,Terry Gilliam,500875,"1,229,197"
The Great Escape,U,8.2,86,John Sturges,224730,"12,100,000"
To Kill a Mockingbird,U,8.2,88,Robert Mulligan,293811,
Yôjinbô,,8.2,,Akira Kurosawa,111244,
Judgment at Nuremberg,A,8.2,60,Stanley Kramer,69458,
Some Like It Hot,U,8.2,98,Billy Wilder,243943,"25,000,000"
Smultronstället,U,8.2,88,Ingmar Bergman,96381,
Det sjunde inseglet,A,8.2,88,Ingmar Bergman,164939,
Du rififi chez les hommes,,8.2,97,Jules Dassin,28810,"57,226"
Dial M for Murder,A,8.2,75,Alfred Hitchcock,158335,"12,562"
Tôkyô monogatari,U,8.2,,Yasujirô Ozu,53153,
Rashômon,,8.2,98,Akira Kurosawa,152572,"96,568"
All About Eve,Passed,8.2,98,Joseph L. Mankiewicz,120539,"10,177"
The Treasure of the Sierra Madre,Passed,8.2,98,John Huston,114304,"5,014,000"
To Be or Not to Be,Passed,8.2,86,Ernst Lubitsch,29915,
The Gold Rush,Passed,8.2,,Charles Chaplin,101053,"5,450,000"
Sherlock Jr.,Passed,8.2,,Buster Keaton,41985,"977,375"
Portrait de la jeune fille en feu,R,8.1,95,Céline Sciamma,63134,"3,759,854"
Pink,UA,8.1,,Aniruddha Roy Chowdhury,39216,"1,241,223"
Koe no katachi,16,8.1,78,Naoko Yamada,47708,
Contratiempo,TV-MA,8.1,,Oriol Paulo,141516,
Ah-ga-ssi,A,8.1,84,Chan-wook Park,113649,"2,006,788"
Mommy,R,8.1,74,Xavier Dolan,50700,"3,492,754"
Haider,UA,8.1,,Vishal Bhardwaj,50445,"901,610"
Logan,A,8.1,77,James Mangold,647884,"226,277,068"
Room,R,8.1,86,Lenny Abrahamson,371538,"14,677,674"
Relatos salvajes,R,8.1,77,Damián Szifron,177059,"3,107,072"
Soul,U,8.1,83,Pete Docter,159171,
Kis Uykusu,,8.1,88,Nuri Bilge Ceylan,46547,"165,520"
PK,UA,8.1,,Rajkumar Hirani,163061,"10,616,104"
OMG: Oh My God!,U,8.1,,Umesh Shukla,51739,"923,221"
The Grand Budapest Hotel,UA,8.1,88,Wes Anderson,707630,"59,100,318"
Gone Girl,A,8.1,79,David Fincher,859695,"167,767,189"
Ôkami kodomo no Ame to Yuki,U,8.1,71,Mamoru Hosoda,38803,
Hacksaw Ridge,A,8.1,71,Mel Gibson,435928,"67,209,615"
Inside Out,U,8.1,94,Pete Docter,616228,"356,461,711"
Barfi!,U,8.1,,Anurag Basu,75721,"2,804,874"
12 Years a Slave,A,8.1,96,Steve McQueen,640533,"56,671,993"
Rush,UA,8.1,74,Ron Howard,432811,"26,947,624"
Ford v Ferrari,UA,8.1,81,James Mangold,291289,"117,624,028"
Spotlight,A,8.1,93,Tom McCarthy,420316,"45,055,776"
Song of the Sea,PG,8.1,85,Tomm Moore,51679,"857,524"
Kahaani,UA,8.1,,Sujoy Ghosh,57806,"1,035,953"
Zindagi Na Milegi Dobara,U,8.1,,Zoya Akhtar,67927,"3,108,485"
Prisoners,A,8.1,70,Denis Villeneuve,601149,"61,002,302"
Mad Max: Fury Road,UA,8.1,90,George Miller,882316,"154,058,340"
A Wednesday,UA,8.1,,Neeraj Pandey,73891,
Gran Torino,R,8.1,72,Clint Eastwood,720450,"148,095,302"
Harry Potter and the Deathly Hallows: Part 2,UA,8.1,85,David Yates,764493,"381,011,219"
Okuribito,PG-13,8.1,68,Yôjirô Takita,48582,"1,498,210"
Hachi: A Dog's Tale,G,8.1,,Lasse Hallström,253575,
Mary and Max,,8.1,,Adam Elliot,164462,
How to Train Your Dragon,U,8.1,75,Dean DeBlois,666773,"217,581,231"
Into the Wild,R,8.1,73,Sean Penn,572921,"18,354,356"
No Country for Old Men,R,8.1,91,Ethan Coen,856916,"74,283,625"
Lage Raho Munna Bhai,U,8.1,,Rajkumar Hirani,43137,"2,217,561"
Million Dollar Baby,UA,8.1,86,Clint Eastwood,635975,"100,492,203"
Hotel Rwanda,PG-13,8.1,79,Terry George,334320,"23,530,892"
Taegukgi hwinalrimyeo,R,8.1,64,Je-kyu Kang,37820,"1,111,061"
Before Sunset,R,8.1,90,Richard Linklater,236311,"5,820,649"
Munna Bhai M.B.B.S.,U,8.1,,Rajkumar Hirani,73992,
Salinui chueok,UA,8.1,82,Bong Joon Ho,139558,"14,131"
Dil Chahta Hai,Unrated,8.1,,Farhan Akhtar,66803,"300,000"
Kill Bill: Vol. 1,R,8.1,69,Quentin Tarantino,1000639,"70,099,045"
